PLACE,LAT,LON
Abeokuta,7.145244,3.327695
Port Harcourt,4.824167,7.033611
Maiduguri,11.83333,13.15
Kano2,12,8.516667
Katsina,12.985531,7.617144
Nnewi,6.010519,6.910345
Agbor,6.264092,6.201883
Ikeja,6.605874,3.349149
Ughelli,5.500187,5.993834
Akure,7.250771,5.210266
Calabar,4.982873,8.334503
Sapele,5.879698,5.700531
Eruwa,7.536318,3.418143
Wudil,11.794242,8.839032
Onitsha,6.141312,6.802949
Zaria,11.085541,7.719945
Jos,9.896527,8.858331
Kaduna,10.609319,7.429504
Minna,9.583555,6.546316
Sokoto,13.005873,5.247552
Iwo,7.629209,4.187218
Yola,9.203496,12.49539
Benin City,6.339185,5.617447
Ondo,7.100005,4.841694
Warri,5.54423,5.760269
Jos,9.890224,8.878927
Enugu,6.459964,7.548949
Ikorodu,6.616865,3.508072
Owerri,5.47631,7.025853
Bauchi,10.314159,9.846282
Bida,9.083333,6.016667
Ado Ekiti,7.621111,5.221389
Gombe,10.283333,11.166667
Sapele,5.9,5.666667
Ofin,6.54456,3.514938
Ilorin,8.5,4.55
Uwheru,5.307031,6.056213
Birninkebbi,12.466078,4.199524
Burji,11.171179,8.548755
Abuja,9.072264,7.491302
Kaura Namoda,12.6,6.589722
Ogbomosho,8.142165,4.245186
Eti-Osa,6.458985,3.601521
Lagos,6.465422,3.406448
Awka,6.210528,7.072277
Ibadan,7.376736,3.939786
